Job Title,Company Name,Recruiter Name,Location,Job Description,Keyword,URL
AI/ML Engineer (Mid-Level),N/A,N/A,N/A,"About the job Company Overview: Hazen Technologies is a leading technology and BPO company having offices in USA and Pakistan. Today we stand as a premier driver of innovation, offering transformative IT solutions, managed services (back-office support), and creative & digital marketing services tailored for a range of industries. Our core focus is on providing seamless solutions that add real value for our customers. Job Location: Gulberg Lahore Pakistan. Job Conditions: Onsite, full time, 02:00 pm to 11:00 pm PKT Report to: Chief Software Architect Responsible for designing, developing, and implementing cutting-edge AI and machine learning solutions. Passionate and skilled to join our growing technology team. The ideal candidate will have hands-on experience building AI-powered solutions using Large Language Models (LLMs), Retrieval-Augmented Generation (RAG) architectures, and modern machine learning techniques. Key Responsibilities: Design and implement AI-powered applications usin",AI automation,https://www.linkedin.com/jobs/view/4394232134/
AI Rubric Designer (Remote),N/A,N/A,N/A,"About the job Job Title: AI Rubric Designer (Remote) Work Mode: Fully Remote Location: Remote (Indonesia, Turkey, Pakistan, Philippines, Vietnam, Nigeria, Egypt, Ukraine, South Africa, Japan, Thailand, Bangladesh, Kenya, Serbia, Switzerland, Israel, Malaysia, UAE, Norway, South Korea) Role Overview Explore building agents using OpenClaw across multiple AI models and design rubrics to evaluate their outcomes - spanning health, education, daily life, et. (all coding work) Shape the future of autonomous AI agents by providing expert human feedback to leading AI organisations. Train Large Language Models (LLMs) for complex, multi-step architectural workflows. Flexible remote work with no minimum hours and weekly payments. Key Responsibilities AI Agent Testing Write evaluation rubrics with objective pass/fail criteria Debug agent traces to identify failure patterns Stress test agents in multi-step, real-world scenarios Technical Evaluation Assess production-grade modular software architectu",AI automation,https://www.linkedin.com/jobs/view/4400976655/
GTM & Automation Engineer,N/A,Vernissa Wali,N/A,"About the job Job Title: GTM & Automation Engineer Location: Islamabad- Onsite About Better Devices Better Devices builds cutting-edge electronic systems in partnership with global clients. We combine rigorous engineering, first-principles thinking, and an obsession with quality to deliver impactful devices and technical solutions. Our work spans the full product lifecycle — from early architecture and prototyping to production and field deployment. We are expanding our go-to-market capabilities and are seeking an experienced GTM & Automation Engineer to design, implement, and optimize scalable outbound systems, automation workflows, and a structured, predictable pipeline for engineering services. Role Summary We're hiring a GTM & Automation Engineer to design, build, and maintain automation pipelines that drive lead generation, qualify prospects, and streamline internal operations. You'll connect external signals (e.g., job postings, industry news, company activity) to our CRM and too",AI automation,https://www.linkedin.com/jobs/view/4396273241/
AI Specialist,N/A,N/A,N/A,"About the job Description We are seeking an experienced AI Specialist to design, develop, and deploy artificial intelligence solutions that solve real-world business problems. The ideal candidate will have expertise in machine learning, deep learning, and data-driven systems, with a strong ability to translate business requirements into scalable AI models. Key Responsibilities Develop, train and implement AI/ML models. Automate workflows and repetitive reporting Analyze large datasets to generate actionable insights for management Build predictive models for revenue trends, cost optimization, and workforce planning Design AI-driven solutions for automation, prediction, and optimization Collaborate with data engineers and software developers to integrate AI models into production systems. Create dashboards and reports for management review Fine-tune and optimize model performance and accuracy Stay updated with the latest advancements in AI and emerging technologies Ensure data accuracy,",AI automation,https://www.linkedin.com/jobs/view/4397205233/
Junior Data Science Engineer,N/A,N/A,N/A,"About the job Education: Bachelor's degree in computer science, software engineering, artificial intelligence or a related field. Location: Karachi and Islamabad Office Shift: 11:00AM - 08:00PM (Monday to Friday) Experience: Minimum 02 Year of Similar Experience with relevant skills in Python, ML, NLP, STT, TTS, and Databases. Job Description And Requirements The ideal candidate will analyze large datasets, develop and fine tune machine learning models, and contribute to data-driven decision-making. Design, build, and deploy machine learning models and AI-driven systems across a variety of domains including NLP, STT, TTS, recommendation engines, and generative AI. Proficiency in Python, Machine Learning, Speech to Text, Text to Speech, Natural Language Processing, SQL, data modeling, plus strong communication skills to turn data into actionable business insights. Knowledge of front-end development and socket programming will be a plus.",AI automation,https://www.linkedin.com/jobs/view/4396332957/
AI/ML Speech-to-Text Python Engineer,N/A,N/A,N/A,"About the job engineering AI/ML Speech-to-Text Python Engineer 48 Commercial Plaza, Cavalry Ground Extension, Lahore About IRG Global IRG Global is a leading technology company specializing in software development, AI-powered solutions, digital transformation, and BPO services. With 8+ years of experience delivering high-performance tech solutions worldwide, IRG Global is now expanding its AI division and seeking top talent to build next-generation speech technologies. About The Role IRG Global is hiring an AI/ML Engineer with strong expertise in Speech-to-Text (STT) technologies and Python development. You will work on building advanced speech recognition systems, integrating cutting-edge models, and optimizing performance for real-time applications. Key Responsibilities Build, train, and maintain Speech-to-Text (ASR) models using state-of-the-art frameworks. Develop Python-based STT pipelines and integrate them into IRG Global’s products and platforms. Fine-tune ASR models such as Op",AI automation,https://www.linkedin.com/jobs/view/4399005342/
Senior Data Scientist,N/A,N/A,N/A,"About the job NexgenLink (formerly Astro Sirens) is seeking a highly skilled Senior Data Scientist to join our team and lead the development of advanced analytics and machine learning solutions that support strategic business objectives. In this role, you will work closely with cross-functional stakeholders across product, engineering, and business teams to transform complex data into actionable insights, build predictive models, and deliver scalable data science solutions. This position requires strong expertise in data analysis, statistical modeling, machine learning, and data-driven problem solving. The ideal candidate is comfortable working with large datasets, building and deploying models in production environments, and communicating analytical findings clearly to both technical and non-technical audiences. This is an excellent opportunity to contribute to high-impact initiatives in a collaborative remote environment aligned with U.S. time zones. Requirements Bachelor's or Master",AI automation,https://www.linkedin.com/jobs/view/4393585676/
Responsible AI Trainee,N/A,N/A,N/A,"About the job Job Overview: As a Responsible AI Trainee at CureMD you will focus on ensuring the ethical, transparent, and accountable use of AI in healthcare applications. This position is pivotal in embedding responsible AI practices into the development, deployment, and maintenance of AI systems that enhance clinical decision-making, patient management, and operational efficiencies. This role requires a blend of technical skills in AI and machine learning, a deep understanding of ethical AI principles, and familiarity with healthcare regulations. The Responsible AI Trainee will play a crucial role in ensuring that CureMD's innovative solutions not only advance healthcare outcomes but also uphold the highest standards of ethics and responsibility in AI. Job Responsibilities: Ethical AI Implementation: Assist in development of AI applications with a strong emphasis on ethical principles, ensuring that all AI solutions are fair, transparent, and non-discriminatory. Compliance and Stand",AI automation,https://www.linkedin.com/jobs/view/4300735575/
Senior AI QA Automation Engineer,N/A,N/A,N/A,"About the job About the Company CodeNinja is a global AI and engineering services company helping enterprises build, scale, and operate intelligent systems. With 350+ engineers across four continents and 400+ successful deployments, CodeNinja enables organizations to harness artificial intelligence through Global Capability Centers, Work AI, Physical AI, and AI Labs. Recognized among Pakistan’s fastest-growing AI firms and a multi-award recipient on Clutch, CodeNinja empowers over 250 clients worldwide to innovate, automate, and compete in the intelligence economy. About the role We are hiring an AI Software Development Engineer in Test II (AI SDET II) — an experienced quality engineer who owns feature-level test strategy and automation for AI-enabled products. In this role, you will design and maintain automated tests and AI evaluation suites, integrate quality signals into CI/CD pipelines, and partner with Scrum teams to prevent defects and deliver reliable AI capabilities. Key Respo",AI automation,https://www.linkedin.com/jobs/view/4396922892/
AI ML Engineer,N/A,N/A,N/A,"About the job We're building something meaningful — not just another dashboard or data toy. This role is for someone who enjoys working with real human behavior data, where every model you ship has the power to improve how people move, live, and take care of themselves. If you love solving puzzles inside messy, real-world datasets, you'll feel at home here. What You'll Work On Build, train, and refine machine learning and deep learning models using time-series, sensor, and behavioral data. Integrate data from wearables, fitness tracking platforms, and device APIs to create a clear story from movement, patterns, and activity signals. Develop and maintain data pipelines that support both batch and real-time analytics. Own model deployment in production environments — your models won't live in notebooks; they'll live in the world. Work closely with engineering teams to integrate ML models into mobile and web apps. Support logic for fraud, spoofing, and anomaly detection, ensuring data ref",AI automation,https://www.linkedin.com/jobs/view/4386754190/
Technical Product Manager (FinTech),N/A,N/A,N/A,"About the job About WhizPay WhizPay is building modern global payment infrastructure powered by stablecoins and programmable finance. We enable businesses to move money seamlessly across borders, from fiat onramps to crypto-based settlement and local currency payouts. Our platform combines traditional banking rails with blockchain systems to deliver faster, more transparent, and cost-efficient transactions. We are focused on solving complex payment challenges in both developed and emerging markets, with a strong emphasis on reliability, compliance, and scalability. As a remote-first team, we are building the next generation of financial infrastructure for a globally connected workforce. About the Role We’re hiring a Technical Product Manager to own the end-to-end product for a stablecoin-powered payments platform. You will define how money moves — from USD onramps to USDC wallets to local payouts — while working closely with engineering, compliance, and external partners. What You’ll O",AI automation,https://www.linkedin.com/jobs/view/4397973770/
Data & Image Annotation Specialist,N/A,N/A,N/A,"About the job About the Role We are looking for Freelance Data Annotation Specialists with strong English proficiency to support global AI and Large Language Model (LLM) projects. This is a project-based freelancing opportunity, ideal for individuals seeking flexible work while contributing to cutting-edge AI development. Key Responsibilities Annotate and review text-based data following detailed project guidelines Perform language-centric tasks such as classification, evaluation, and reasoning Maintain high accuracy, consistency, and quality standards Meet defined productivity benchmarks within project timelines Flag unclear or ambiguous data as per escalation guidelines Ensure confidentiality and compliance with data security requirements Required Skills & Qualifications Excellent English and Italian proficiency (written and spoken) Strong attention to detail and analytical skills Comfortable working independently in a remote/project-based setup Basic computer literacy and familiarit",AI chatbot,https://www.linkedin.com/jobs/view/4398851463/
First-Person Video AI Trainer (Worldwide),N/A,N/A,N/A,"About the job The Toloka Annotators connects individuals with Generative AI projects from leading tech innovators. Our mission is to unlock the full potential of AI by involving real people from around the world in the development process. About The Role Do you wash dishes every day? Vacuum the rug? Walk the dog? Fold laundry? What if you could get paid just for recording it? We are looking for people to help train the next generation of AI by capturing high-quality, ""point-of-view"" video of everyday household tasks. Responsibilities Data Collection: Record hands-on, manipulation-intensive tasks across a diverse set of residential environments Residential Tasks: Accurately record common household activities such as room tidy-up, end-to-end dishes cleanup, end-to-end laundry, and home mapping Adherence to Specifications: Follow strict guidelines for data capture, including dedicating full attention to the task and ensuring geographic and task diversity in recordings Requirements Equipme",AI chatbot,https://www.linkedin.com/jobs/view/4393538143/
Remote Calling Associate,N/A,N/A,N/A,"About the job We get a lot of applications, to make sure your application is seen, fill this 3-minute Jotform Application (copy/paste into browser): https://form.jotform.com/253174078735160 Company: Ascenturi Location: Remote Schedule: U.S. Business Hours Type: Full-Time Summary: We are hiring a Remote Calling Associate to manage outbound dialing campaigns and connect with potential clients across the U.S. Responsibilities: Execute high-volume outbound calls daily Follow structured call scripts Book appointments efficiently Update CRM systems accurately Maintain call quality and compliance Qualifications: Clear speaking voice and confidence Strong attention to detail Ability to handle repetitive tasks Prior calling experience preferred What We Offer: Work-from-home flexibility Structured training Fast-paced environment",AI chatbot,https://www.linkedin.com/jobs/view/4396357423/
Data Annotation Specialist,N/A,N/A,N/A,"About the job About the Role We are looking for Freelance Data Annotation Specialists with strong English proficiency to support global AI and Large Language Model (LLM) projects. This is a project-based freelancing opportunity, ideal for individuals seeking flexible work while contributing to cutting-edge AI development. Key Responsibilities Annotate and review text-based data following detailed project guidelines Perform language-centric tasks such as classification, evaluation, and reasoning Maintain high accuracy, consistency, and quality standards Meet defined productivity benchmarks within project timelines Flag unclear or ambiguous data as per escalation guidelines Ensure confidentiality and compliance with data security requirements Required Skills & Qualifications Excellent English and Vietnamese proficiency (written and spoken) Strong attention to detail and analytical skills Comfortable working independently in a remote/project-based setup Basic computer literacy and familia",AI chatbot,https://www.linkedin.com/jobs/view/4398842697/
AI Software Engineer (Marketing Automation & Internal Tools),N/A,Ayesha Gulfam,N/A,"About the job Job Title: AI Software Engineer (Marketing Automation & Internal Tools) Location: Remote Working Hours: US Hours - EST Contract Type: Full-Time About the Role Our client is a fast-growing marketing agency serving over 150 home service businesses. They focus on performance-driven campaigns and are heavily investing in AI and automation to improve lead generation, tracking, and operational efficiency. They are now looking to bring in a hands-on AI Software Engineer to build and scale their internal systems. This is a builder role, not a strategy-only position. You will be responsible for developing internal tools, integrating AI into workflows, and improving how the agency operates across marketing, data, and client servicing. You’ll work directly with the leadership team, media buyers, and operators to turn ideas into working systems—fast. Key Responsibilities 1. Internal Tool Development (Primary Focus) Build and deploy internal tools using Next.js, React, and Python Deve",AI chatbot,https://www.linkedin.com/jobs/view/4396367339/
Mid-Level AI Engineer,N/A,Maha Siddiqui,N/A,"About the job About Us Welcome to the cutting-edge world of AI-driven solutions! CoPilot Innovations is an innovative early-stage AI software development company with a mission to empower small and mid-sized businesses to thrive in the digital age. We build intelligent tools and automation solutions that help businesses work smarter, faster, and better. In this video, the leaders at CoPilot Innovations share: Our vision for CoPilot and where we’re headed The type of AI challenges we’re passionate about solving Our perspective on LLMs, automation, and their real-world impact The engineering culture we’re actively building If this resonates with you, we invite you to watch the full video here: https://linkly.link/2ZrUs If you’re passionate about artificial intelligence, eager to solve challenging problems, and want to work on impactful projects from day one, we’d love to hear from you. Role Overview As a Mid-Level AI Engineer at CoPilot Innovations, you’ll collaborate with a talented tea",AI chatbot,https://www.linkedin.com/jobs/view/4365349568/
Developer Relations AI (100% remote),N/A,N/A,N/A,"About the job Join Tether and Shape the Future of Digital Finance At Tether, we’re not just building products, we’re pioneering a global financial revolution. Our cutting-edge solutions empower businesses—from exchanges and wallets to payment processors and ATMs—to seamlessly integrate reserve-backed tokens across blockchains. By harnessing the power of blockchain technology, Tether enables you to store, send, and receive digital tokens instantly, securely, and globally, all at a fraction of the cost. Transparency is the bedrock of everything we do, ensuring trust in every transaction. Innovate with Tether Tether Finance: Our innovative product suite features the world’s most trusted stablecoin, USDT, relied upon by hundreds of millions worldwide, alongside pioneering digital asset tokenization services. But that’s just the beginning: Tether Power: Driving sustainable growth, our energy solutions optimize excess power for Bitcoin mining using eco-friendly practices in state-of-the-art,",AI chatbot,https://www.linkedin.com/jobs/view/4379001407/
Vision Data Intelligence Specialist (Worldwide),N/A,N/A,N/A,"About the job The Toloka Annotators connects individuals with Generative AI projects from leading tech innovators. Our mission is to unlock the full potential of AI by involving real people from around the world in the development process. About The Role Do you wash dishes every day? Vacuum the rug? Walk the dog? Fold laundry? What if you could get paid just for recording it? We are looking for people to help train the next generation of AI by capturing high-quality, ""point-of-view"" video of everyday household tasks. Responsibilities Data Collection: Record hands-on, manipulation-intensive tasks across a diverse set of residential environments Residential Tasks: Accurately record common household activities such as room tidy-up, end-to-end dishes cleanup, end-to-end laundry, and home mapping Adherence to Specifications: Follow strict guidelines for data capture, including dedicating full attention to the task and ensuring geographic and task diversity in recordings Requirements Equipme",AI chatbot,https://www.linkedin.com/jobs/view/4393207084/
OpenClaw Specialist (Remote),N/A,N/A,N/A,"About the job Job Title: OpenClaw Specialist (Remote) Work Mode: Fully Remote Location: Remote (Philippines, Pakistan, UAE, Nigeria, Bangladesh, Indonesia, Egypt, South Africa, Turkey, Vietnam, Malaysia, Kenya, Thailand, Ukraine, Serbia, Japan, South Korea, Israel, Norway, Switzerland) Role Overview Explore building agents using OpenClaw across multiple AI models and design rubrics to evaluate their outcomes - spanning health, education, daily life, et. (all coding work) Shape the future of autonomous AI agents by providing expert human feedback to leading AI organisations. Train Large Language Models (LLMs) for complex, multi-step architectural workflows. Flexible remote work with no minimum hours and weekly payments. Key Responsibilities AI Agent Testing Write evaluation rubrics with objective pass/fail criteria Debug agent traces to identify failure patterns Stress test agents in multi-step, real-world scenarios Technical Evaluation Assess production-grade modular software architect",AI chatbot,https://www.linkedin.com/jobs/view/4400969859/
PIEAS 2026,N/A,N/A,N/A,"About the job Hi Folks, Here is a Virtual Office Tour. We are looking for. 1. Full Stack Software (MERN/MEVN, Javascript) 2. ML/AI / Computer Vision 3. SQA (Manual + Automation - Javascript, Selenium, Cypress) 4. Mobile Application (Flutter, Java, Kotlin) 5. Data Scientists 6. Cyber Security 7. Embedded Systems 8. Electronics 9. Product (UI/UX/UED) 10. Mechanical Design Engineer 11. Talent Acquisition (Technical) MUST DO! In order to move fast and get a better idea of what to expect in the interviews, I request everyone to follow these steps. 1. Go to work.cowlar.com (Right click on the link and open in new window) 2. Navigate to, the ""Interview Prep Section."" 3. Click on your relevant section, ""Engineering, BSSO"" 4. Open your relevant prep document. 5. Please prepare the document in detail, not just look at it. 6. Let us know as soon as you are prepared. You can reach out to us at careers@cowlar.com If you have any questions or queries, please let us know. Remember, we are looking for",AI chatbot,https://www.linkedin.com/jobs/view/4395999231/
Remote Customer Outreach Associate,N/A,N/A,N/A,"About the job We get a lot of applications, to make sure your application is seen, fill this 3-minute Jotform Application (copy/paste into browser): https://form.jotform.com/253174078735160 Company: Ascenturi Location: Remote Schedule: U.S. Business Hours Type: Full-Time Summary: Ascenturi is expanding rapidly and seeking a Remote Customer Outreach Associate to connect with prospective clients and schedule appointments. This role is ideal for individuals looking to build experience in customer communication, outbound engagement, and remote sales support. Responsibilities: Conduct high-volume outbound calls (350–450 daily) Engage potential customers and introduce services clearly Schedule qualified appointments using internal tools Maintain accurate CRM records and call notes Follow outreach scripts while adapting to conversations Meet and exceed daily and weekly KPIs Participate in team coaching and performance reviews Qualifications: Strong English communication skills Comfortable spe",AI chatbot,https://www.linkedin.com/jobs/view/4396344492/
Amazon Product Launch Manager – Private Label,N/A,N/A,N/A,N/A,SaaS,https://www.linkedin.com/jobs/view/4400605942/
Senior Product Marketing Specialist - Digital Banking,N/A,N/A,N/A,N/A,SaaS,https://www.linkedin.com/jobs/view/4393097618/
Account Executive (AE / Closer) - Remote,N/A,N/A,N/A,N/A,SaaS,https://www.linkedin.com/jobs/view/4382912869/
Performance Marketing Manager,N/A,N/A,N/A,N/A,SaaS,https://www.linkedin.com/jobs/view/4400236530/
Remote Sales Associate,N/A,N/A,N/A,N/A,SaaS,https://www.linkedin.com/jobs/view/4396345495/
AD Cards & Online Payments,N/A,N/A,N/A,N/A,SaaS,https://www.linkedin.com/jobs/view/4397930109/
Customer Success Manager (APAC),N/A,N/A,N/A,N/A,SaaS,https://www.linkedin.com/jobs/view/4390816842/
Marketing Manager,N/A,N/A,N/A,N/A,SaaS,https://www.linkedin.com/jobs/view/4395336080/
Email Marketing & Automation Specialist,N/A,N/A,N/A,N/A,SaaS,https://www.linkedin.com/jobs/view/4397365028/
Sales Development Representative,N/A,N/A,N/A,N/A,SaaS,https://www.linkedin.com/jobs/view/4390375354/
Software Engineer (API Integrations) | $80/hr Remote,N/A,N/A,N/A,N/A,SaaS,https://www.linkedin.com/jobs/view/4390954017/
Business Development Assistant,N/A,N/A,N/A,N/A,SaaS,https://www.linkedin.com/jobs/view/4397280642/
Remote Recruitment Consultant,N/A,N/A,N/A,N/A,SaaS,https://www.linkedin.com/jobs/view/4396355242/
Sales Development Representative (SDR) - Remote,N/A,N/A,N/A,N/A,SaaS,https://www.linkedin.com/jobs/view/4382926346/
Unilever Future Leaders Program - Marketing,N/A,N/A,N/A,N/A,SaaS,https://www.linkedin.com/jobs/view/4398198570/
Chief Marketing Officer,N/A,N/A,N/A,N/A,SaaS,https://www.linkedin.com/jobs/view/4398263946/
Director of Agentic Marketing Systems,N/A,N/A,N/A,N/A,SaaS,https://www.linkedin.com/jobs/view/4384851782/
GoHighLevel CRM Manager (Healthcare),N/A,N/A,N/A,N/A,SaaS,https://www.linkedin.com/jobs/view/4361326893/
Digital Marketing Manager,N/A,N/A,N/A,N/A,SaaS,https://www.linkedin.com/jobs/view/4397331810/
JavaScript Developer | $55/hr Remote,N/A,N/A,N/A,N/A,web development,https://www.linkedin.com/jobs/view/4388208552/
React (Next.js) Developer,N/A,N/A,N/A,N/A,web development,https://www.linkedin.com/jobs/view/4391131677/
Front-End Web Developer (React + Azure),N/A,N/A,N/A,N/A,web development,https://www.linkedin.com/jobs/view/4399872675/
Senior Software Engineer (Remote),N/A,N/A,N/A,N/A,web development,https://www.linkedin.com/jobs/view/4400971784/
Front-End Web Developer (React + Azure),N/A,N/A,N/A,N/A,web development,https://www.linkedin.com/jobs/view/4398690769/
Web Designer | $65/hr Remote,N/A,N/A,N/A,N/A,web development,https://www.linkedin.com/jobs/view/4393844555/
Front-End Developer,N/A,N/A,N/A,N/A,web development,https://www.linkedin.com/jobs/view/4381022199/
"Web Developer & Analyst - 1227 - Lahore, Pakistan",N/A,N/A,N/A,N/A,web development,https://www.linkedin.com/jobs/view/4395929141/
Senior Software Developer (Remote),N/A,N/A,N/A,N/A,web development,https://www.linkedin.com/jobs/view/4400982493/
Front-End Web Developer (React + Azure),N/A,N/A,N/A,N/A,web development,https://www.linkedin.com/jobs/view/4398806338/
Remote Phone Representative,N/A,N/A,N/A,N/A,web development,https://www.linkedin.com/jobs/view/4396349592/
